comp,Variable,Df,SumOfSqs,R2,F,Pr(>F),Omega2_partial,padj
Week3 - Week6,TimePoint,1,2.76826863384806,0.0558557522939154,9.64311083399459,0.001,0.0497751439287305,0.006
Week3 - Week9-14,TimePoint,1,3.39457995240076,0.0670052604014198,11.418967279933,0.001,0.0607807143238614,0.006
Week3 - Week18,TimePoint,1,3.26441690457575,0.0744152689024216,10.773347590879,0.001,0.0670448182222477,0.006
Week6 - Week9-14,TimePoint,1,1.08220756052079,0.0260840733486229,3.80313979281531,0.001,0.0190945493180283,0.006
Week6 - Week18,TimePoint,1,1.89145149952419,0.0530787901140691,6.55832647796978,0.001,0.0446242867509372,0.006
Week9-14 - Week18,TimePoint,1,0.562403229616403,0.0161704013301152,1.85728844992408,0.006,0.00739952109525348,0.006
CS - CSR,BirthMode,1,0.477722572745974,0.00972025314587139,1.60976887691285,0.016,0.00365986269006428,0.022
CS - VF,BirthMode,1,0.548517677724558,0.00853273023983171,1.72123286367199,0.011,0.00355775689346271,0.022
CSR - VF,BirthMode,1,0.881087302450203,0.0143381234630496,2.76387219880193,0.001,0.00910320473463803,0.003
